HID	PA
61520	0
61521	0
61522	0
61523	0
61524	0
61525	0
61526	0
61527	0
61528	0
61529	0
61530	0
61531	0
61532	0
61533	0
61534	0
61535	0
61536	0
61537	0
61592	0
61593	0
61594	0
61595	0
61596	0
61597	0
61598	0
61599	0
61600	0
61601	0
61602	0
61603	0
61604	0
61605	0
61606	0
61607	0
61608	0
61609	0
61610	0
61611	0
61612	0
61613	0
61614	0
61615	0
61616	0
61617	0
61673	0
61674	0
61675	0
61676	0
61677	0
61678	0
61679	0
61680	0
61681	0
61682	0
61683	0
61684	0
61685	0
61686	0
61687	0
61688	0
61689	0
61690	0
61691	0
61692	0
61693	0
61694	0
61695	0
61696	0
61697	0
61698	0
61699	0
61755	0
61756	0
61757	0
61758	0
61759	0
61760	0
61761	0
61762	0
61763	0
61764	0
61765	0
61766	0
61767	0
61768	0
61769	0
61770	0
61771	0
61772	1
61773	0
61774	0
61775	0
61776	0
61777	0
61778	0
61779	0
61780	0
61835	0
61836	0
61837	0
61838	0
61839	0
61840	0
61841	0
61842	0
61843	0
61844	0
61845	0
61846	0
61847	0
61848	0
61849	0
61850	0
61851	0
61852	1
61853	1
61854	1
61855	0
61856	0
61857	0
61858	0
61859	0
61860	0
61861	0
61917	0
61918	0
61919	0
61920	0
61921	0
61922	0
61923	0
61924	0
61925	0
61926	0
61927	0
61928	0
61929	0
61930	0
61931	0
61932	0
61933	0
61934	1
61935	1
61936	1
61937	0
61938	0
61939	0
61940	0
61941	0
61942	0
61947	0
61998	0
61999	0
62000	0
62001	0
62002	0
62003	0
62004	0
62005	0
62006	0
62007	0
62008	0
62009	0
62010	0
62011	0
62012	0
62013	0
62014	0
62015	1
62016	1
62017	1
62018	1
62019	1
62020	0
62021	0
62022	0
62023	0
62029	0
62079	0
62080	0
62081	0
62082	0
62083	0
62084	0
62085	0
62086	0
62087	0
62088	0
62089	0
62090	0
62091	0
62092	0
62093	0
62094	0
62095	1
62096	1
62097	1
62098	1
62099	1
62100	0
62101	0
62102	0
62103	0
62104	0
62109	0
62160	0
62161	0
62162	0
62163	0
62164	0
62165	0
62166	0
62167	0
62168	0
62169	0
62170	0
62171	0
62172	0
62173	0
62174	0
62175	0
62176	1
62177	1
62178	1
62179	1
62180	0
62181	1
62182	0
62183	0
62184	0
62185	0
62189	0
62190	0
62191	0
62242	0
62243	0
62244	0
62245	0
62246	0
62247	0
62248	0
62249	0
62250	0
62251	0
62252	0
62253	0
62254	0
62255	0
62256	0
62257	1
62259	1
62260	1
62261	1
62262	0
62263	0
62264	0
62265	0
62266	0
62267	0
62271	0
62272	0
62322	0
62323	0
62324	0
62325	0
62326	0
62327	0
62328	0
62329	0
62330	0
62331	0
62332	0
62333	0
62334	0
62335	0
62336	1
62337	0
62338	1
62339	1
62340	1
62341	1
62342	0
62343	0
62344	0
62345	0
62346	0
62347	0
62351	0
62352	0
62353	0
62404	0
62405	0
62406	0
62407	0
62408	0
62409	0
62410	0
62411	0
62412	0
62413	0
62414	0
62415	0
62416	0
62417	0
62418	1
62419	1
62420	1
62421	1
62422	1
62423	1
62424	0
62425	0
62426	0
62427	0
62428	0
62429	0
62432	0
62433	0
62434	0
62485	0
62486	0
62487	0
62488	0
62489	0
62490	0
62491	0
62492	0
62493	0
62494	0
62495	0
62496	0
62497	1
62498	0
62499	1
62500	1
62501	1
62502	1
62503	1
62504	1
62505	0
62506	0
62508	0
62509	0
62510	0
62511	0
62512	0
62513	0
62514	0
62515	0
62516	0
62566	0
62567	0
62568	0
62569	0
62570	0
62571	0
62572	0
62573	0
62574	0
62575	0
62576	0
62577	1
62578	1
62579	1
62580	1
62581	1
62582	1
62583	1
62584	1
62585	0
62586	0
62587	0
62588	0
62589	0
62590	0
62591	0
62592	0
62593	0
62594	0
62595	0
62596	0
62647	0
62648	0
62649	0
62650	0
62651	0
62652	0
62653	0
62654	0
62655	0
62656	0
62657	0
62658	1
62659	1
62660	1
62661	1
62662	1
62663	1
62664	1
62665	1
62666	1
62667	0
62668	0
62669	0
62670	0
62671	0
62672	0
62673	0
62674	0
62675	0
62676	0
62677	0
62678	0
62729	0
62730	0
62731	0
62732	0
62733	0
62734	0
62735	0
62736	0
62737	0
62738	0
62739	1
62740	1
62741	1
62742	1
62743	1
62744	1
62745	1
62746	1
62747	1
62748	0
62749	0
62750	0
62751	0
62752	0
62753	0
62754	0
62755	0
62756	0
62757	0
62758	0
62759	0
62809	0
62810	0
62811	0
62812	0
62813	0
62814	0
